Date,Price,Open,High,Low,Vol.,Change %
11/24/2023,75.77,76.94,77.25,75.32,74.98K,-0.75%
11/23/2023,76.34,76.69,76.81,75.31,,-1.18%
11/22/2023,77.25,77.92,78.11,73.98,99.86K,-0.86%
11/21/2023,77.92,77.69,78.04,77.04,69.05K,0.12%
11/20/2023,77.83,75.8,78.46,75.41,270.64K,2.35%
11/17/2023,76.04,73.11,76.19,72.91,368.48K,4.04%
11/16/2023,73.09,76.71,76.8,72.37,428.82K,-4.82%
11/15/2023,76.79,78.1,78.69,76.45,253.17K,-1.77%
11/14/2023,78.17,78.48,79.65,77.73,166.18K,-0.03%
11/13/2023,78.19,77.18,78.54,76.19,157.42K,1.35%
11/10/2023,77.15,75.65,77.71,75.36,159.39K,1.85%
11/9/2023,75.75,75.63,77.12,75.18,172.86K,0.58%
11/8/2023,75.31,77.03,77.43,74.92,219.20K,-2.46%
11/7/2023,77.21,80.69,80.79,76.99,198.96K,-4.21%
11/6/2023,80.6,80.76,81.9,80.33,131.58K,0.46%
11/3/2023,80.23,82.25,83.2,79.84,213.05K,-2.35%
11/2/2023,82.16,80.44,82.44,80.01,158.21K,2.57%
11/1/2023,80.1,80.98,82.82,79.96,160.14K,-0.50%
10/31/2023,80.5,81.96,82.77,80.26,135.89K,-1.44%
10/30/2023,81.68,84.25,84.39,81.16,119.75K,-3.57%
10/27/2023,84.7,82.88,85,82.41,101.15K,2.62%
10/26/2023,82.54,84.58,84.85,81.97,107.55K,-2.54%
10/25/2023,84.69,82.99,84.85,81.44,141.32K,2.07%
10/24/2023,82.97,85.05,85.22,82.16,136.15K,-1.72%
10/23/2023,84.42,86.69,87,84.3,101.18K,-4.16%
10/20/2023,88.08,89.09,89.85,87.53,311.92K,-0.33%
10/19/2023,88.37,87.22,89.54,85.44,384.03K,1.26%
10/18/2023,87.27,86.41,88.57,86.25,384.53K,2.14%
10/17/2023,85.44,85.69,86.44,84.39,229.52K,0.21%
